failure_mode_id,component_id,failure_mode,mechanism,cause,effect,pf_interval_note
963,362,Seal Failure,,,,
964,363,Tooth Wear,,,,
965,363,Overheating,,,,
966,363,Lubrication Failure,,,,
967,364,Stator Winding Fault,,,,
968,364,Rotor Bar Crack,,,,
969,364,Bearing Failure,,,,
970,364,Insulation Breakdown,,,,
971,364,Overheating,,,,
972,365,Corrosion,,,,
973,365,Cracking,,,,
974,366,Imbalance,,,,
975,366,Seal Leakage,,,,
976,367,Leakage,,,,
977,367,Sticking,,,,
978,368,Drift,,,,
979,368,Open Circuit,,,,
980,368,Noise,,,,
981,369,Gasket Leak,,,,
982,369,Latch Failure,,,,
983,370,Clogging,,,,
984,370,Wear,,,,
985,371,Corrosion,,,,
986,371,Cracking,,,,
987,372,Imbalance,,,,
988,372,Seal Leakage,,,,
989,373,Drift,,,,
990,373,Open Circuit,,,,
991,373,Noise,,,,
992,374,Leakage,,,,
993,374,Sticking,,,,
994,375,General Failure,,,,
